index	prompt1	prompt2	prompt3	prompt4
4500	In this image we can see a yellow object on the sand, beside it there is a yellow board with some text on it, a yellow pole, a yellow board with some text on it, a yellow board with some text on it, a yellow	No.	Female.	Female.
4501	In this image we can see a cake, a knife, a plate, a person's hand and a few other objects on the table.	No.	Female.	Female.
4502	In this image there is a ground with grass on it and there are two girls running on it. In the background there are cars, trees, buildings and a person.	No.	Female.	Female.
4503	A man stands on surfboard in the ocean, and there are two people on the surfboard.	Yes.	Male.	Male.
4504	In this image there are four men who are standing and posing for a picture. They are all wearing black suits. In the background there is a dark sky.	Yes.	Male.	Male.
4505	In this image we can see a bed, pillows, a pillow, a pillow cover, a pillow, a pillow, a lamp, a curtain, a wall, a wall, a window, a curtain, a wall, a lamp, a wall	No.	Female.	Female.
4506	A pizza is on a plate.	No.	Female.	Female.
4507	A pizza is on a white plate, and there is a fork and a glass of orange juice on the table.	No.	Female.	Female.
4508	In this image we can see a person sitting on a chair and a teddy bear on the chair. In the background we can see a person standing and a teddy bear on the chair. We can also see a television on the ground. We can see	Yes.	Male.	Female.
4509	A man is sitting at a table with a laptop and some electronics on it. Behind him is a projector screen that says "STREAM FOILIO".	No.	Male.	Male.
4510	In this image we can see a tray with a cup and a pizza on it. In the background we can see a bed sheet and a cloth.	No.	Female.	Female.
4511	In this image there is a table and a chair. On the table there is a toy. On the ground there are stones. In the background there is a road.	No.	Female.	Female.
4512	In this image there are people sitting in the restaurant. There are tables and chairs. On the tables there are laptops, glasses, food items and other objects. There are lights. There are frames on the wall.	Yes.	Female.	Female.
4513	In this image there is a woman who is standing and smiling. She is holding a paper in her hand. There is a table in front of her. On the table there is a laptop, a bottle, a glass and a paper. There is	Yes.	Female.	Female.
4514	In this image we can see a person's hand holding a white remote control. In the background there is a television.	Yes.	Female.	WOMEN.
4515	In this image we can see a man standing and holding a camera. We can also see a television, a table, a chair, a cloth, a few objects on the table, a few objects hanging on the wall, a person walking, a	Yes.	Male.	Male.
4516	A man is sitting on the floor with a Wii controller in his hands.	Yes.	Male.	Male.
4517	A boy is playing wii with another boy.	No.	WOMEN.	WOMEN.
4518	A man is sitting in front of a desk with a keyboard and a mouse. Behind him, there are two monitors, a television, and toys.	No.	Female.	Female.
4519	A kitchen with a refrigerator, stove, oven, microwave, and dishwasher. Two men are standing in the kitchen. The kitchen has light brown wooden cabinets and a white refrigerator. The countertop is beige.	Yes.	Male.	Male.
4520	A woman holding a purple object, standing on the ground.	Yes.	Female.	Female.
4521	In this image there are a few people standing and few people are flying kites. At the top there is a sky with clouds.	Yes.	Female.	Female.
4522	In this image there are many people standing and flying kites. There are many buildings and skyscrapers in the background. There are many trees and plants. There is a street light.	Yes.	Male.	Male.
4523	In this image we can see a building, a clock, a flag, a few people, a pole, a board, a few objects, a few objects on the ground, a few objects on the left side, a few objects on the right	Yes.	Female.	Male.
4524	In the image we can see there are people standing and sitting and they are wearing helmets and gloves and there is a baseball field and there is a fence and there is a board and there is a person standing and talking on the phone and there is a	Yes.	Male.	Male.
4525	A woman is playing tennis, reaching up to hit the ball. In the background, there is a fencing and some plants.	Yes.	Female.	Female.
4526	A woman is playing tennis on a blue tennis court.	NO.	Female.	Female.
4527	A woman is running on a tennis court.	Yes.	Female.	Female.
4528	A woman is playing tennis.	Yes.	Female.	Female.
4529	A woman is playing tennis on a tennis court. In the background, there are people standing and watching. There are banners with something written on it.	No.	Female.	Female.
4530	In this image we can see a person holding a tennis racket. In the background we can see a banner, a fence, a group of people sitting on chairs, a group of people standing, a group of plants, a fence, a building	Yes.	Male.	Male.
4531	A pizza is on a tray and the North End Pizza Bakery is in the background.	No, there is no person in this image.	Male.	Male.
4532	A man is playing tennis. He is hitting the ball with a tennis racket.	No.	Male.	Male.
4533	A man is playing tennis in a blue banner with white letters on it.	Yes.	Male.	Male.
4534	A man is kneeling down with his hands on a laptop. Beside him is a man with a yellow shirt. Beside him is a man with a green shirt. Beside him is a man with a black shirt. Beside him is	Yes.	Male.	Male.
4535	In this image there are many teddy bears in the shelves.	No.	BOSTON.	Female.
4536	In this image there is a table on which there is a saucer, a cup, a flower vase and a flower pot. In the background there is a dark view.	No.	Female.	Female.
4537	People are sitting at a table with laptops and a camera. A woman is standing and filming.	No.	Female.	Female.
4538	In this image we can see a clock on the wall. In the background we can see the sky.	No.	Female.	Female.
4539	The image depicts the interior of a cozy, vintage-style home. The room is furnished with a variety of furniture, including a wooden dining table, a wooden chair, and a wooden desk. The table is positioned in the center of the room,	No.	Female.	Female.
4540	A smartphone is placed on a wooden surface, with a red cloth holding it in the foreground. The smartphone is displaying an interface with numbers and letters.	No.	Female.	Female.
4541	In this image we can see a microwave oven, a microwave, a microwave, plates, a bowl, a cup, a spoon, a knife, a fork, a knife, a plate, a cup, a spoon, a bowl, a plate	No.	NO.	Female.
4542	A baby is standing by the door of a stainless steel oven, with the oven door open, and the oven's control knobs are being pressed.	Yes.	Male.	Male.
4543	In the image we can see there is a man standing and holding a bottle in his hand. In the background there is a refrigerator, a table, a bowl, a plate, a bottle, a bowl, a spoon, a spoon, a spoon	No.	Female.	Female.
4544	Breakfast is on the table.	Yes.	Female.	Male.
4545	A wooden table with a plate of food, knife, fork, knife, knife, knife, knife, knife, knife, knife, knife, knife, knife, knife, knife, knife, knife, knife, knife, knife, knife, knife	Yes.	Male.	Male.
4546	A clock is on the street, in the background there are buildings.	No.	Female.	Female.
4547	In this image there is a beach with sand, there are teddy bears, there are objects, there are trees, there is a house, there are boards, there are poles, there are trees, there is a blue sky.	No.	Female.	Female.
4548	In this image there are people sitting on chairs around a table. On the table there are glasses, plates, bottles, spoons, forks, knives, spoons, forks, glasses, plates, spoons, forks, spoons, spoons, spoons, spoons,	No.	Female.	Female.
4549	In this image we can see two people sitting on the chairs and working on laptops. In the background we can see a table with a bowl, a glass, a bottle and a cloth. On the left side we can see a person holding a laptop	No.	Female.	Female.
4550	A person is holding a kettle and a black cat is standing on its hind legs. In the background, there is a wooden cabinet and a purple wall. On the table there are some items.	No.	Female.	Female.
4551	A sink with two basins, a sponge holder, and a faucet.	No.	Male.	NO.
4552	A kitchen is completely messed up.	No.	WOMEN.	Female.
4553	A bathroom has a flower in a bowl and a mirror above it.	No.	Male.	Male.
4554	A pizza has black olives on it.	No.	Female.	Male.
4555	This image shows a bathroom with a sink and a few other objects on the countertop. The sink is white and has a soap dispenser on it. Next to the sink, there is a small container with a butterfly design on it. Above the	No.	Female.	Female.
4556	A woman is standing in a hallway and holding a green jacket and a bag.	Yes.	Female.	Female.
4557	In this image there is a sink, a mirror, a towel rack, a shelf and a light.	No.	Female.	Female.
4558	A bathroom has an old white sink with two chained faucets.	No.	Female.	Female.
4559	In this image we can see a bathtub, a sink, a bowl, a bottle, a cup, a box, a mat, a wall, a window, a light, a few objects and a few wooden sticks.	No.	Female.	Female.
4560	In the foreground of the picture there is a hydrant. In the center of the picture there is a car with a sticker on it. In the background there are people and a building.	No.	Female.	Female.
4561	A bathroom with a toilet, a sink and a towel rack.	No.	Female.	Female.
4562	In the image there are two cats sleeping in the car.	No.	Female.	Female.
4563	In this image we can see vehicles on the road, buildings, lights, boards, poles, and a tower. At the top of the image there is the sky.	No.	Female.	Female.
4564	A bathroom has a white toilet in a bathtub.	No.	Female.	Female.
4565	A bathroom with a toilet and a machine next to it.	No.	NO.	Female.
4566	In this image there are bikes parked on the road. There are poles and railing. In the background there are buildings and there is a board.	No.	Female.	Female.
4567	A bathroom with a white toilet.	No.	NO.	Female.
4568	A person is standing in a bathroom with a high chair in front of them.	Yes.	Male.	Male.
4569	This picture shows a room with some empty sinks and a fish tank.	No.	Male.	Male.
4570	This image shows a bathroom with a white toilet and a bathtub. The toilet is located in the center of the image and is white in color. The bathtub is located on the left side of the image and is also white in color. The bathtub has	No.	Female.	Unanswerable.
4571	A child has placed a green icing cake with yellow icing figures of a motorcycle on it.	Yes.	Female.	Male.
4572	A room has a monitor, a printer, a box, and a laptop on a desk.	No.	Male.	Male.
4573	On this picture we can see television, few books, few objects, a curtain, a wall, frames, a photo frame, a doll, a poster, a book, a book stand, a book, a book stand, a book, a	9/9/2012	Female.	Vandal.
4574	In the foreground of the picture there is a plane. In the background there is sky with clouds and the sky is blue. On the right there is a man. On the left there are people.	No.	B~.	Biceps.
4575	In this image we can see a few airplanes on the runway. We can also see the ground with some vehicles and poles. We can also see the sky with clouds.	No.	Female.	Male.
4576	An airplane is flying above a flag, which has an American flag with red, white and blue. In the background, there are trees.	No.	Female.	Female.
4577	In this image we can see an aeroplane in the air. In the background we can see the sky with clouds. On the left side of the image we can see the vehicles on the road.	No.	Female.	Female.
4578	In the image we can see giraffes and an animal is standing on the ground. In the background we can see trees, water, grass and the sky.	No.	Female.	Female.
4579	In this image we can see an airplane flying in the sky.	No.	Female.	Female.
4580	In the image there is an airplane in the sky, the airplane is in blue and white color.	No.	Male.	Male.
4581	An elderly woman sits on a bench.	No.	Female.	Female.
4582	In this image I can see a giraffe standing on the ground. In the background I can see few trees and few plants.	No.	Female.	Female.
4583	In this image there is a pole with a traffic signal and a sign board. There are trees and a vehicle on the road. There is a fence.	No.	Female.	Female.
4584	The image depicts an urban street scene during what appears to be a late evening or early evening. The street is relatively quiet, with no significant traffic or vehicles visible. The street is flanked by a variety of trees, some of which are tall and	No.	Female.	Female.
4585	A child's bedroom with a potted plant, flowers in a glass vase, and a rope barrier.	No.	Female.	Female.
4586	In this image we can see giraffes in the grass. In the background of the image there are trees.	No.	Female.	Female.
4587	In this image we can see teddy bears, flowers, papers, boards, and some other objects. In the background, we can see the flags of different countries.	No.	Female.	Female.
4588	In this image there are three sheep on the grass. In the background there is a lake.	No.	Female.	Female.
4589	In this image there is a vehicle on the road. There are people standing on the vehicle. There is a bridge. There are mountains. There is a sky with clouds.	No.	Female.	Female.
4590	In this image we can see a bench on the ground. In the background we can see a fence, trees, buildings, grass, sky and the ground.	No.	Female.	Female.
4591	In this image there is a giraffe standing on the grass. In the background there are trees.	No.	Female.	Female.
4592	In the image there are two buses parked on the road. The bus on the left is in black and yellow color and the bus on the right is in red and white color. Both the buses have the number plate. In the background there are buildings	No.	Male.	Male.
4593	In this image we can see a board with some text and numbers attached to a tree. In the background we can see the sky.	No.	Female.	Female.
4594	In the image we can see giraffes and a baby giraffe is walking on the sand. In the background we can see trees, water and the sky.	No.	Female.	Male.
4595	In a park, a giraffe is grazing on the grass. There is a blue car behind it.	No.	Male.	Male.
4596	In this image we can see two birds on the branch of a tree. In the background we can see the water, a tower, a mountain and the sky.	No.	Female.	Female.
4597	In this image there is a pole with a sign board. On the left side of the pole there is a tree. On the right side of the pole there is a sign board. On the sign board there is a name "DAN WHIT	No.	NO.	NO.
4598	A subway train is in the middle of a snowy area.	No.	Female.	Female.
4599	This image is taken inside a bus. In the background, there are people sitting on chairs and there are tables with glasses and drinks on them. There are curtains in the background. There are lights on the ceiling.	Yes.	WOMEN.	Female.
4600	In the foreground of the picture there is a pole with a sign board and a sign board. In the background there are houses, trees and the sky.	No.	Female.	Female.
4601	In this image there is a mailbox and a street sign with the name of holly and the street name of winter holly.	No.	Female.	Female.
4602	In this image we can see a train on the railway track. In the background there are trees. At the bottom of the image there is a road. At the top of the image there is the sky.	No.	Female.	Female.
4603	A platform with a train and a sign with "1" on it is surrounded by a circle.	No.	Female.	Female.
4604	In this image we can see a stop sign in the front and in the background we can see the trees.	No.	No one.	Male.
4605	In this image we can see a train on the railway track. We can also see a signal board, a pole, a train, a person, trees and the sky.	No.	Female.	Female.
4606	In this image we can see a train on the track. There are people standing on the side of the train. There is smoke in the image.	NO.	Female.	Female.
4607	In this image we can see a parking meter, in the background there are stores, poles, lights, road, road markings, road markings, road and the sky.	No.	Female.	Female.
4608	In this image there is a black object which is in black color, which is in the front of the image, there is a tree trunk in the background, there is a snow on the tree trunk, there is a white object in the background,	No.	Female.	Female.
4609	A black cat is sitting on a red plastic stool next to a pair of white and light blue sneakers with dark blue laces. The cat is looking up at the shoes.	No.	Female.	Female.
4610	In this image we can see a cat sleeping on a bed. In the background of the image there is a wooden wall, a table, a shelf, a clock, a mirror, a few objects, a few wires and a few objects on the	No.	Female.	Female.
4611	In this image we can see a truck parked on the road. In the background there are trees, a pole, a shed and the sky.	No.	Female.	Female.
4612	In this image we can see a cat and a bird on the ground. In the background we can see plants and stones. At the top of the image we can see the water.	No.	Female.	Female.
4613	In this image we can see a cat sitting on the floor. There is a mouse on the floor. There is a wire on the cat. There is a mouse on the floor. There is a wall in the background.	No.	Female.	Female.
4614	A man is drinking from a teacup. He is wearing a black suit.	Yes.	Male.	Male.
4615	In the image there are five elephants standing in a group in the water. Behind them there is a herd of trees and grass.	No.	Female.	Female.
4616	In the image there is a cat on a desk, on the desk there is a keyboard, a pen and some papers.	No.	Female.	Female.
4617	In this image we can see a person sitting on a chair and carrying a suitcase.	Yes.	Male.	Male.
4618	In this image we can see a table with a bag and a pillow on it. There are some books, a bag and a pillow on the table. There are some objects on the table. There is a bin on the floor. There is a	No.	Male.	Female.
4619	In this image we can see an elephant standing on the ground. In the background we can see trees, clouds and the sky.	No.	Female.	Female.
4620	A girl is wearing a blue shirt with the words OMIS BIGEST LOR on it.	Yes.	Female.	Female.
4621	In this image there are two elephants standing on a rock. Behind them there are some trees.	No.	Female.	Female.
4622	In this image there are two elephants. One of them is standing on the ground and the other one is walking on the ground.	No.	Female.	Female.
4623	A woman is standing in front of a table with a suitcase on it.	Yes.	Female.	Female.
4624	In this image there are three bags on the floor.	No.	Female.	Male.
4625	In this image there is a bed with a teddy bear on it. There is a woman sitting on the bed. There is a frame on the wall. There are some objects on the bed.	Yes.	Female.	Female.
4626	A dog with brown, black, and white fur sits on a pink checkered chair next to a pink and white patterned chair. The dog is lying down with its head on its paws. The chair is next to a person's leg and another	Implied.	Implied, IGNORE.	IGNORE.
4627	In this image there are two persons sitting on a chair. There is a bag on the floor. There is a bag on the ground. There is a bag on the wall. There is a board with some text on it. There is a board	No.	Female.	Male.
4628	In the image there are a group of people who are all standing on the sand and they are all touching the blue object which is placed on the sand.	Yes.	Male.	Male.
4629	In this image there are zebras and a baby zebra. There are rocks and trees.	No.	Female.	Female.
4630	In this image we can see a woman standing near a horse. In the background we can see a fence, trees, a shed and the sky.	No.	Female.	Female.
4631	In this image we can see a person holding a camera and a horse. We can see a person holding a bag and a camera. We can see a person holding a camera and a person holding a bag. We can see a person holding a camera	Yes.	Female.	Female.
4632	In this image we can see a statue of a person sitting on a horse. In the background we can see a group of buildings, trees, sky and clouds.	Yes.	Female.	Female.
4633	In this image we can see bananas and a flower.	No.	Female.	Female.
4634	In this image we can see a basket filled with flowers, fruits, and other objects.	No.	Female.	Female.
4635	A young boy in a yellow baseball uniform is smiling and holding a baseball in his left hand. He is wearing a black baseball cap with a white "N" on it.	No.	Male.	Male.
4636	A plate with a piece of bread, broccoli and a potato on a wooden table.	No.	Female.	Female.
4637	In this image there are two persons sitting on the grass and holding a banana peel in their hands. In the background there is a chair and a table.	Yes.	Male.	Male.
4638	In this image there are vegetables on a table.	No.	Female.	Female.
4639	In this image there are people standing and there are ski lifts. In the background there is a mountain and there is a sky with clouds.	Yes.	Female.	Female.
4640	In this image we can see a wooden bowl with some food items in it. There are some fruits and vegetables in the bowl. There is a wooden spoon on the table. There is a cloth on the table. There is a wall in the background	No.	Female.	Female.
4641	In this image there are vegetables on a black color grill.	No.	Female.	Female.
4642	A group of skiers are on a snow-covered hill, with a few others in the background. In the background, there is a building with a sign on it, and a few other structures. The sky is foggy.	Yes.	Female.	Female.
4643	In this image there are people standing on the snow. In the background there are mountains and the sky is cloudy.	Yes.	Male.	Male.
4644	This image depicts a snowy mountain landscape, likely a ski resort or a ski resort in a mountainous region. The snow is pristine, and the ground is completely blanketed with a thick layer of white powder, which is indicative of recent snowfall. The snow	No.	Male.	Male.
4645	In this image there is a plate on which there are three donuts.	No.	Female.	Female.
4646	In this image we can see a boy and a person in the middle of the image. In the background we can see a person and some objects.	No.	Female.	Female.
4647	In a room, there is a man who is holding a knife and a piece of food. Behind him, there is a table with some food on it. On the table there is a paper and some papers. On the right side of the image	No.	Female.	Male.
4648	A basketball game is being played on a court with the word "AspenDental" visible on the back wall.	No.	Female.	Female.
4649	In this image there is a person who is wearing a jacket and a cap. There is a person who is wearing a jacket and a cap. There is a person who is wearing a jacket and a cap. There is a person who is wearing a	No.	Female.	Female.
4650	In this image there are a few people playing a game of football. There are a few people sitting on benches. There are a few people standing. There are a few people sitting on chairs. There are a few people standing. There are a few	Yes.	Male.	Male.
4651	An image shows a sandwich cut in half, next to a bowl of salad and a white cup with a red and white label that reads "BETHLEHAM CUPCAKES".	No.	Female.	Male.
4652	A small room has a bed with a checkered blanket, a desk with books and other items on it, and a computer on the desk.	No.	Female.	UNDER.
4653	In this image we can see three pizzas on a pan.	No.	Female.	Female.
4654	In this image there is a person's hand holding a slice of pizza. In the background there is a white cloth.	No.	Female.	Male.
4655	In the image there are two pizzas, one is a pepperoni pizza and the other is a veggie pizza.	No.	Female.	Female.
4656	In a tennis court, a man in a cap and black shorts is standing near the net, with two children in front of him, one of whom is holding a tennis racket. The child in front of him is about to swing the racket	Yes.	Male.	Male.
4657	In this image we can see three men standing in front of a television. On the television we can see a game. In the background we can see a wall, boards, lights, a screen and a door.	No.	Male.	Male.
4658	A man is sitting in a recliner and playing a Wii game.	No.	Male.	Male.
4659	A man is playing a video game in the living room.	Yes.	Female.	Male.
4660	A young boy is walking on a hardwood floor in front of a fireplace. There are many toys scattered around, including a yellow book with the word "GIRL" on the cover.	No.	Male.	Boy.
4661	In this image there is a man standing and holding a remote in his hand. He is wearing a grey t shirt. Behind him there is a television. There is a chair. There are some objects on the floor. There is a window.	Yes.	Male.	Male.
4662	In the image there are two people standing on the beach holding a kite. Behind them there is a water body and the sky is cloudy.	Yes.	Male.	Male.
4663	A woman is flying a kite, wearing sunglasses.	Yes.	Female.	Female.
4664	In this image there is a plate on the table, on the plate there is a food item, in the background there is a person holding a glass.	Yes.	Male.	Male.
4665	In this image there is a person sitting and holding a fork. In front of the person there is a pizza. In the background there is a table.	No.	Female.	Female.
4666	In this image we can see a tennis court with three people on it. We can also see a bag, a camera, a bag, a person holding a camera, a person sitting on a chair, a bag, a person standing, a person	No.	Female.	Female.
4667	In the image there is a desk with a keyboard, monitor, speakers, and a few other electronic devices on it.	No.	Female.	Female.
4668	A laptop is partially connected to a power outlet.	No.	Female.	Female.
4669	A room has a desk with a computer on it.	No.	Female.	Female.
4670	In this image there is a table on which there are some objects. There are some objects on the table. There is a flower vase on the table. There are some objects on the table. There is a wall in the background.	No.	Female.	Female.
4671	A woman and a man are sitting on a couch and kissing a stuffed animal. Behind them, there is a table with a lamp on it. On the right, there are three paintings on the wall.	Yes.	Female.	Female.
4672	A woman takes a selfie in a bathroom with a glass wall and blue t-shirt.	No.	Female.	Female.
4673	In this image we can see a blender on the counter. In the background there is a wall with tiles.	No.	Female.	Female.
4674	A woman is talking on her cell phone while sitting on a metal fence. In the background, there is a waterfall, trees, buildings, and the sky with clouds.	Yes.	Female.	Female.
4675	In the foreground of this image, there is a person holding a cell phone. In the background, there is a plant and a clock.	No.	Female.	Male.
4676	Two men are in an office setting, one of them is holding a cell phone.	Yes.	Male.	Male.
4677	In this image I can see a woman standing and smiling. I can see a refrigerator, a box, a board, a box, a box, a box, a box, a box, a box, a box, a box, a box	Yes.	Female.	Female.
4678	This is a kitchen. In this kitchen there is a refrigerator, microwave, oven, stove, cupboards, a table, a chair, a bowl, a pot, a vase, a kettle, a cup, a plate, a bowl, a	No.	Female.	Female.
4679	In the image we can see there is a flower vase and there are flowers in it.	No.	Female.	Female.
4680	In this image we can see a plant, books, a ribbon, a glass, a box and some other objects.	No.	Female.	Female.
4681	In the foreground of the picture there is a tree. In the center of the picture there is a church. On the top there is a clock. At the top there is the sky.	No.	Female.	Female.
4682	In this picture we can see a clock on the pole.	No.	Female.	Female.
4683	In this image we can see a flower vase on a table. On the table we can see a white cloth and a white color object. In the background we can see a wall and a few objects.	No.	Female.	Female.
4684	A woman is holding a green and brown teddy bear in her hands. In the background, there are clothes hanging on a hanger, a box with some items inside it, and a yellow box.	Yes.	Female.	Female.
4685	Two women are preparing food in a restaurant. They are using forks and spoons.	No.	Female.	Female.
4686	This image is taken in a large room. There are many people sitting around the tables. There are many chandeliers hanging from the ceiling.	No.	WOMEN.	Female.
4687	A plate of pasta, a bowl of chips and a glass of orange juice.	No.	Female.	Female.
4688	In this image there are three persons standing on the floor. In the background there is a wall with a window and a door. On the table there are some objects. On the left side there is a person standing. On the right side there is	Yes.	Female.	Female.
4689	In this image there is a person on the snow. In the background there is a mountain and the sky.	Yes.	Female.	Male.
4690	A bathroom with a toilet, sink, and wardrobe.	No.	NO.	Female.
4691	A bathroom with urinals, one of them has a red light and a "No Smoking" sign.	No.	Male.	Male.
4692	In this image we can see a sink, a mirror, a wall, a frame, a light, a towel, a pot, a bowl, a bottle, a curtain and a wall.	No.	Female.	Female.
4693	In this image we can see a toilet, a door, a switch board, a few objects and a wall.	No.	Female.	Female.
4694	A young person is sitting on the toilet in a bathroom. They are wearing a blue t shirt, red shorts, and a backpack. They have their hands on the lid of the toilet. In the background, there is a wall with a pattern of	Yes.	Female.	Female.
4695	A stainless steel sink with a hole in the top and a hole in the bottom is on wet floor.	No.	Female.	Female.
4696	A woman is touching a toilet with a red cloth in it. In the background, there is a plant and a white toilet seat.	No.	Female.	Female.
4697	In the foreground of the picture there is a bike. In the background there are cars, buildings, trees and the sky.	No.	Female.	Male.
4698	In this image there are many bikes in the foreground. In the background there are people standing and there are tents.	No.	Male.	Male.
4699	In the image there is a black motorcycle parked on the ground and beside it there is another black motorcycle parked on the ground. In the background there are cars parked on the road and there are bushes.	No.	Male.	Male.
4700	In this image we can see a motorbike on the road. In the background we can see the grass, hills, sky and clouds.	No.	Female.	Female.
4701	There is a table with a basket on it. On the table there are magazines. On the left side there is a speaker. On the right side there is a lamp. On the left side there is a clock. On the right side there is	No.	Female.	Female.
4702	An airplane is flying in the sky.	No.	Female.	Female.
4703	In the image we can see there are two cows grazing on the grass. In the background there are houses, trees, mountains, and the sky.	No.	Female.	Female.
4704	In this image we can see a giraffe standing on the ground, there are people standing on the ground, there are trees, there is a house, there are poles, there is a tree trunk, there are people standing on the ground, there are	No.	Female.	Female.
4705	In this image we can see a bird on a bench. In the background, we can see a green color bench and a wall.	No.	Female.	Male.
4706	A double decker bus is stopped at the "Rath Bridges" bus & Boat Tour.	No.	Male.	Male.
4707	In this image there is a bus on the road. There are buildings, trees, street lights, plants, trash bins and vehicles on the road.	No.	Male.	Male.
4708	Two white buses are parked in a row, one of them has the text national express on it.	No.	Female.	Male.
4709	In this image we can see vehicles on the road, there are two trucks, there are lights, pipes, and other objects, there is a wall, and there is a roof.	No.	Female.	Female.
4710	In this image there is a fire hydrant in the foreground. In the background there is a building with windows and pillars. There are two persons standing on the left side of the image.	No.	Male.	Female.
4711	In this image there is a bus on the road. There are vehicles on the road. There are buildings and poles. There is a sky.	No.	Female.	Female.
4712	A blue Arriva bus stands on a city street.	No.	Male.	Male.
4713	Bus on the road with "Citylink" written on the side.	No.	Female.	Female.
4714	A bus with the number 66 on the front is on the road.	No.	Male.	Female.
4715	In the foreground of the picture there is a road and on the road there is a bus. In the background there is a bridge, trees, grass and the sky.	No.	Female.	Female.
4716	In this image we can see a bus on the road. In the background we can see a person walking, trees, poles, a building and the sky.	Yes.	Male.	Male.
4717	In this image there are sheep and a kid. In the background there are trees.	No.	Female.	Female.
4718	In this image we can see a bird with a yellow object in its beak. In the background we can see water.	No.	Female.	Female.
4719	A large number of birds fly in the sky, in front of a grey background.	No.	Female.	Female.
4720	In this image there is a street light pole, there are two trees, there is a building, there is a board, there is a name board, there is a text on the board, there is a text on the building, there is a	No.	Female.	NO.
4721	A boy is wearing a striped suit and a black hat.	NO.	Male.	Male.
4722	In this image we can see a train on the railway track. In the background we can see trees, sky and the ground.	No.	Female.	Female.
4723	In this image we can see a train on the track, there are some trees, a person, a building, a shed, some wires and the sky.	No.	Female.	Female.
4724	In this image we can see a train on the railway track, beside the train there is a hill, on the hill there is grass. In the background there is water.	No.	Female.	Female.
4725	In this image we can see trains on the railway track. There are people sitting on the bicycles. In the background there is a building.	No.	Female.	MALE.
4726	In this image we can see a train on the railway track. In the background we can see a building, electric poles, wires, plants, and the sky.	No.	Female.	Female.
4727	In this image we can see a train on the track. We can also see a signal board, poles, wires, a traffic light, a board with some text and a few other objects.	No.	Female.	Female.
4728	In this image we can see a train on the railway track. In the background there is a building and a sky.	No.	Female.	Male.
4729	In the image we can see there is a train on the railway track. In the background there is a bridge, buildings, poles, boards, vehicles, and the sky.	No.	Female.	Female.
4730	In this image there are people walking on the road. There are banners with text on it. There are lights.	No.	Male.	Male.
4731	In this image we can see a train on the track. In the background there are electric poles, wires and a building.	No.	Female.	Male.
4732	Train station with trains.	No.	Female.	Female.
4733	In this image we can see a train on the railway track.	No.	Female.	Female.
4734	In this image we can see a train on the track. In the background we can see a train, trees, plants, grass, sky with clouds.	No.	Female.	Female.
4735	In this image we can see a train on the track. There is a platform in the background. There are poles and wires in the background. There are trees in the background.	No.	Female.	Female.
4736	In this image we can see a train on the track. In the background we can see buildings, trees, poles, wires and the sky.	No.	Female.	Female.
4737	An old rusty truck is parked on a dirt road.	No.	Female.	Female.
4738	Two buses are parked on the street and one of them says "atrium".	Yes.	Female.	Male.
4739	In the foreground of the picture there is a black bull. In the background there is a wooden fence, trees, shed and the sky.	No.	Female.	Female.
4740	A man in a suit and tie is standing outdoors, smiling. In the background, there is a palm tree and the sky is clear with a few clouds.	Yes.	Male.	Male.
4741	In the center of the image we can see an elephant. In the background there is sky.	No.	Female.	Female.
4742	An outdoor beach with a wooden pole and an orange umbrella.	No.	Female.	Female.
4743	In the image we can see there is a ship which is in black and white in color and there are few people standing on the dock and there are buildings and trees in the background.	No.	Female.	Female.
4744	A dog is laying on the carpet and holding a bottle with its head on it.	No.	Female.	Female.
4745	In this image there are many people standing on the road. There are many umbrellas. In the background there are buildings, trees and the sky.	No.	Female.	Female.
4746	A person is lying on the grass with a frisbee in their hand.	Yes.	Male.	Male.
4747	A man is throwing a frisbee in the air. He is wearing sunglasses and a black and red outfit.	Yes.	Male.	Male.
4748	A person is playing frisbee in the sand on a beach.	Yes.	Male.	Male.
4749	In the image we can see a boy is doing a jump and he is wearing pink and yellow color dress and shoes. In the background we can see the water, stones, and the sky.	Yes.	Male.	Male.
4750	A man is playing frisbee in a green field.	No.	Male.	Male.
4751	In this image we can see two zebras on the ground. We can also see the plants and the grass. We can also see the water.	No.	Female.	Female.
4752	In this image I can see the road, zebras and a car. In the background I can see the trees and the sky.	No.	Female.	Female.
4753	In the image there are two zebras in a pen. The zebra on the left is eating grass.	No.	Female.	Female.
4754	In this image we can see a building with a roof and a door. Inside the building there is a horse.	No.	Female.	Female.
4755	In this image there is a person on the horse. In the background there is a fencing. There are people standing behind the fencing.	No.	Female.	Male.
4756	In the image there are two zebras grazing on the grass, in the background there is a tree with green leaves and behind the tree there are some rocks.	No.	Male.	Male.
4757	A woman is kneeling on the grass and holding a camera in her hand. Beside her, a white pony is standing. In the background, there are trees and grass.	Yes.	Female.	Female.
4758	A skier is on the mountain, over a valley.	Yes.	Male.	Male.
4759	In this image there are bananas on a table.	No.	Female.	Female.
4760	In this image there are people skiing. At the bottom there is snow. In the background there is a mountain and trees. At the top there is sky.	No.	Female.	Female.
4761	Plate with food and a straw.	No.	Female.	Female.
4762	Banana on a paper plate, banana on a banana peel.	No.	Female.	Female.
4763	A plate of food sits on an orange napkin, next to a red apple.	No.	Female.	Female.
4764	In this image there is a person standing and wearing goggles and a cap. In the background there are trees.	Yes.	Female.	Female.
